"AnimalID","AnimalInternal-ID","AnimalName","AnimalType","AnimalSex","AnimalCurrentWeightPounds","AnimalDOB","AnimalBreed","AnimalColor","AnimalPattern"
45684,1468327,"Romo","Dog","Male",58,20161104,"Retriever, Labrador /Mix","Black /None",NULL
45685,1468329,"Starlight","Dog","Female",5.2,20161104,"Retriever, Labrador /Mix","Black /None",NULL
45686,1468331,"Texan","Dog","Male",11,20161104,"Retriever, Labrador /Mix","Black /None",NULL
45687,1468338,"Cowboy","Dog","Male",13.7,20161104,"Retriever, Labrador /Mix","Black /None",NULL
45688,1468342,"Katie","Dog","Female",10.25,20161104,"Retriever, Labrador /Mix","Black /None",NULL
45689,1468367,"Apricot","Dog","Female",5.81,20091228,"Poodle, Miniature","Tan/None",NULL
45690,1468388,"Luffy","Dog","Female",11.9,20101105,"Terrier, Yorkshire, Yorkie /Bichon Frise","Silver /White",NULL
45691,1468479,"Iris","Dog","Female",32.2,20041231,"Shepherd, German /Mix","Sable /None",NULL
45692,1468486,"Cody","Dog","Male",26.3,20160102,"Terrier /Shepherd","Tan /None",NULL
45693,1468497,"Tango","Dog","Male",63,20141223,"Retriever, Labrador","Black /White",NULL
45694,1468604,"Violet","Dog","Female",31,20140105,"Shepherd /Mix","Beige /None",NULL
45695,1468609,"Jangle","Dog","Female",31.4,20160729,"Retriever, Labrador /Mix","Black /White",NULL
45696,1468612,"Jonah","Dog","Male",54.2,20160729,"Retriever, Labrador /Mix","Black /White",NULL
45699,1468722,"Polly","Dog","Female",12.3,20161010,"Retriever, Labrador /Mix","Yellow /None",NULL
45700,1468727,"Shaya","Dog","Female",18,20161026,"Cattle Dog /Mix","Tan /White","Tricolor"
45701,1468732,"Cleopatra","Dog","Female",30,20150106,"Terrier /Mix","Black /White",NULL
45702,1468736,"Luna","Dog","Female",32,20160106,"Shepherd /Mix","Black /White",NULL
45703,1468738,"Cornell","Dog","Male",30,20160406,"Shepherd /Terrier","Brown /White",NULL
45704,1468740,"Katrina","Dog","Female",40,20160627,"Retriever, Labrador /Mix","Blond /None",NULL
45705,1468906,"January","Dog","Female",10.81,20151229,"Chihuahua","Tan /None",NULL
45706,1468922,"Starshower","Dog","Female",10.4,20061231,"Chihuahua","Brown /White",NULL
45716,1469621,"Nilla","Dog","Female",5.4,20170106,"Chihuahua, Short Coat/Mix","Cream/None",NULL
45717,1469622,"Tessa","Dog","Female",5.69,20170106,"Chihuahua, Short Coat /Mix","Chocolate /None",NULL
45718,1469623,"Graham","Dog","Male",6.2,20170106,"Chihuahua, Short Coat /Mix","Cream /None",NULL
45719,1469624,"S'mores","Dog","Male",5.4,20170106,"Chihuahua, Short Coat /Mix","Chocolate /None",NULL
45720,1469625,"Lily Pup 5","Dog","Unknown",0.63,20170106,"Chihuahua, Short Coat /Mix","Black /None",NULL
45721,1469645,"Hope","Dog","Female",23.9,20150107,"Beagle /Akita","White /Red/Mahogany",NULL
45726,1470145,"Blue","Dog","Female",44,20150108,"Cattle Dog /Catahoula Leopard Dog","White /Black","Salt and Pepper"
45728,1470163,"Bell","Dog","Female",42,20140108,"Cattle Dog /Mix","Black /None","Solid"
45729,1470308,"Stanley","Dog","Male",56.6,20060107,"Retriever, Labrador /Mix","Black /None",NULL
45730,1470347,"Horton","Dog","Male",64,20090103,"Cattle Dog /Mix","Brown /White","Brindle"
45731,1470367,"Sergeant","Dog","Male",37.4,20160810,"Retriever, Labrador /Mix","Brown /None",NULL
45732,1470370,"Precious","Dog","Female",30.4,20160810,"Retriever, Labrador /Mix","Black /None",NULL
45733,1470371,"Jefferson","Dog","Male",39.19,20160810,"Retriever, Labrador /Mix","Brown /None",NULL
45735,1470575,"Baloo","Dog","Male",10,20160821,"Sheepdog, Shetland /Retriever, Labrador","Black /Brown",NULL
45736,1470581,"Diamond","Dog","Female",62,20030722,"Terrier, Pit Bull","Tan /White",NULL
45740,1471057,"Pepper","Dog","Female",23,20150210,"Shih Tzu /Mix","Brown /White",NULL
45754,1471632,"Mikhail","Dog","Male",37.8,20160712,"Retriever, Black Labrador","Black /None",NULL
45755,1471646,"Mr. Incredible","Dog","Male",62.7,20110109,"Rottweiler /Mix","Black /Red/Mahogany",NULL
45756,1471652,"Alfred","Dog","Male",58.4,20070101,"Retriever, Labrador/Boxer","Tan/None",NULL
45758,1471746,"Geneva","Dog","Female",49.5,20160109,"Hound /Mix","Tan /White",NULL
45759,1471776,"Daddy Longlegs","Dog","Male",9,20160909,"Terrier /Mix","Brown /None",NULL
45785,1472457,"Rio","Dog","Male",77,20151125,"Mixed Breed (Large)/Great Dane","White/Black",NULL
45786,1472466,"Percival","Dog","Male",39,20151219,"Terrier, Pit Bull /Mix","Black /White",NULL
45787,1472493,"Lana","Dog","Female",48.38,20121206,"Terrier, Pit Bull /Mix","Brindle /White",NULL
45795,1472662,"Karma","Dog","Female",61.9,20141203,"Terrier, Pit Bull /Mix","Tan /White",NULL
45796,1472711,"Eloise","Dog","Female",44,20141211,"Terrier, Pit Bull /Mix","Brindle /White",NULL
45797,1472725,"Gloria","Dog","Female",49.5,20140722,"Terrier, American Staffordshire /Mix","Blue /Tan",NULL
45801,1472975,"Midge","Dog","Female",38.8,20140111,"Shepherd /Mix","Black /Brown","Tricolor"
45802,1472978,"Jackie","Dog","Female",10.88,20161102,"Shepherd /Mix","Blond /Blond","Brindle"
45803,1472981,"Donna","Dog","Female",9,20161102,"Shepherd /Mix","Blond /Blond","Brindle"
45804,1472987,"Hyde","Dog","Male",11.5,20161102,"Shepherd /Mix","Blond /Blond","Brindle"
45805,1472993,"Kelso","Dog","Male",12.75,20161102,"Shepherd /Mix","Blond /Blond","Brindle"
45806,1472996,"Eric","Dog","Male",8.75,20161102,"Shepherd /Mix","Blond /Blond","Brindle"
45808,1473096,"Werner","Dog","Male",55,20160111,"Cattle Dog, Australian (Blue Heeler) /Mix","White /Blue",NULL
45809,1473174,"Emmitt","Dog","Male",51.7,20150104,"Cattle Dog, Australian (Blue Heeler)","Blue Black /Black","Tick"
45811,1473246,"Montana","Dog","Male",8.8,20161109,"Hound, Plott","Black /White",NULL
45812,1473251,"Dakota","Dog","Female",10.5,20161109,"Hound, Plott","Brindle /White",NULL
45814,1473487,"Nicos","Dog","Male",52,20151215,"Retriever, Labrador /Hound","0 /None",NULL
45815,1473505,"Hudson","Dog","Male",64.5,20080106,"Terrier, Pit Bull /Mix","Tan /White",NULL
45816,1473528,"Banksy","Dog","Male",71.9,20141226,"Bulldog, American /Mix","White /Black",NULL
45817,1473546,"Ralph","Dog","Male",67.5,20140201,"Retriever, Labrador /Mix","Black /White",NULL
45841,1473968,"North","Dog","Male",5.1,20161117,"Terrier, Pit Bull","Brindle /None",NULL
45842,1473975,"South","Dog","Female",7,20161117,"Terrier, Pit Bull","Tan /None",NULL
45843,1473977,"East","Dog","Male",12.5,20161117,"Terrier, Pit Bull","Tan /None",NULL
45844,1473979,"West","Dog","Female",9,20161117,"Terrier, Pit Bull","Black /None",NULL
45845,1473987,"Left","Dog","Male",6.25,20161117,"Terrier, Pit Bull","Black /White",NULL
45846,1473990,"Right","Dog","Male",30,20161117,"Terrier, Pit Bull","Tan/None",NULL
45847,1473992,"Lockhart 7","Dog","Female",4.6,20161117,"Terrier, Pit Bull","Tan /None",NULL
45848,1474007,"Hamilton","Dog","Male",74.7,20151208,"Shepherd, German","Sable /Black",NULL
45849,1474197,"Ruby Rose","Dog","Female",19.5,20161030,"Pointer","White /Black",NULL
45854,1474526,"Abby","Dog","Female",43.6,20130113,"Collie, Border","Black /White",NULL
45867,1474815,"Kipper","Dog","Male",15.1,20150113,"Poodle, Miniature","White /None",NULL
45868,1474832,"Blue Bonnet","Dog","Female",48,20070106,"Terrier, Pit Bull /Mix","Blue /White",NULL
45894,1475778,"Garnet","Dog","Male",18.5,20160814,"Retriever, Black Labrador /Pug","Black /None","Solid"
45895,1476107,"Thorin","Dog","Female",30,20160111,"Cattle Dog, Australian (Blue Heeler) /Mix","Black /None",NULL
45896,1476301,"Azul","Dog","Female",49.2,20161105,"Terrier/Mix","Blue/None",NULL
45897,1476352,"Daisy","Dog","Female",9.5,20161228,"Retriever, Labrador /Shepherd","Black /White",NULL
45898,1476355,"Enos","Dog","Male",54,20161228,"Retriever, Labrador/Shepherd","Black/White",NULL
45899,1476358,"Bo","Dog","Male",13.8,20161228,"Retriever, Labrador /Shepherd","Black /White",NULL
45900,1476361,"Ariel","Dog","Female",9,20161228,"Retriever, Labrador /Shepherd","Brown /None",NULL
45901,1476364,"Cinderella","Dog","Female",25.1,20161228,"Retriever, Labrador /Shepherd","Black /None",NULL
45902,1476367,"Mary Poppins","Dog","Female",8.88,20161228,"Retriever /Shepherd","Black /None",NULL
45903,1476370,"T-Rex","Dog","Male",12,20161228,"Retriever, Labrador /Shepherd","Brown /None",NULL
45904,1476703,"Reginald","Dog","Male",64,20131001,"Shepherd, German","Tan /Black","Bicolor"
45905,1476799,"Mandy","Dog","Female",33,20130116,"Shepherd, Australian /Mix","White /Brown",NULL
45906,1476809,"Sandy","Dog","Female",6.13,20161126,"Shepherd, Australian /Mix","White /Black",NULL
45907,1476813,"Kelly","Dog","Female",4.75,20161126,"Shepherd, Australian /Mix","White /None",NULL
45908,1476856,"Pitter","Dog","Male",8.13,20161127,"Mixed Breed (Small)","Black /White",NULL
45909,1476859,"Patter","Dog","Female",4.25,20161127,"Mixed Breed (Small)","Black /White",NULL
45910,1476876,"Dixie","Dog","Female",3.5,20161127,"Mixed Breed (Small)","Black /White",NULL
45911,1476879,"Trixie","Dog","Female",3.44,20161127,"Mixed Breed (Small)","Black /White",NULL
45912,1476882,"Pixie","Dog","Male",4.38,20161127,"Mixed Breed (Small)","Blond /None",NULL
45913,1476903,"Nathan","Dog","Male",58.6,20160217,"Shepherd /Mix","Black /None",NULL
45914,1477291,"Newton","Dog","Male",70,20091125,"Terrier, American Pit Bull /Mix","Brown /White",NULL
45916,1477476,"Marcia","Dog","Male",23.3,20161029,"Pyrenees, Great /Collie, Border","White /Black",NULL
45917,1477481,"Carol","Dog","Female",19.5,20161029,"Pyrenees, Great /Collie, Border","Black /White",NULL
45918,1477482,"Jan","Dog","Female",25.6,20161029,"Pyrenees, Great /Collie, Border","White /Black",NULL
45919,1477483,"Mike","Dog","Male",20,20161029,"Pyrenees, Great /Collie, Border","White /Black",NULL
45920,1477484,"Cindy","Dog","Female",11.25,20161029,"Pyrenees, Great /Collie, Border","White /Black",NULL
45921,1477485,"Greg","Dog","Male",19.6,20161029,"Pyrenees, Great /Collie, Border","White /Black",NULL
45922,1477486,"Peter","Dog","Male",20.1,20161029,"Pyrenees, Great /Collie, Border","White /Black",NULL
45923,1477487,"Alice","Dog","Female",25.38,20161029,"Pyrenees, Great /Collie, Border","White /Black",NULL
45924,1477489,"Bobby","Dog","Male",25,20161029,"Pyrenees, Great /Collie, Border","White /Tan",NULL
45925,1477593,"Sandra Dee","Dog","Female",5.3,20070116,"Chihuahua","Beige /None",NULL
45926,1477673,"Oslo","Dog","Female",12.56,20170110,"Hound /Mix","Brown /None",NULL
45927,1477674,"Rome","Dog","Male",14,20170110,"Hound /Mix","Tan /None",NULL
45928,1477675,"Florence","Dog","Female",10.5,20170110,"Hound /Mix","Tan /None","Brindle"
45929,1477676,"Dublin","Dog","Male",11.38,20170110,"Hound /Mix","Tan /None",NULL
45930,1477677,"Madrid","Dog","Male",10.38,20170110,"Hound /Mix","Tan /White",NULL
45931,1477685,"Cairo","Dog","Male",60,20170110,"Hound/Mix","Tan/Brindle",NULL
45932,1477689,"Prague","Dog","Male",10.5,20170110,"Hound /Mix","Tan /White",NULL
45933,1477690,"Milan","Dog","Male",10,20170110,"Hound /Mix","Tan /White",NULL
45934,1477691,"Vienna","Dog","Male",10.5,20170110,"Hound /Mix","Tan /White",NULL
45935,1477692,"Paris","Dog","Male",10.5,20170110,"Hound /Mix","Brown /White",NULL
45936,1477696,"Berlin","Dog","Male",13,20170110,"Hound /Mix","Beige /None",NULL
45937,1477699,"London","Dog","Female",6.69,20170110,"Hound /Mix","Brown /None",NULL
45938,1477783,"Gouda","Dog","Male",8,20161220,"Coonhound, Bluetick","Brown /White",NULL
45939,1477787,"Brie","Dog","Female",6,20161220,"Coonhound, Bluetick","Black /None",NULL
45940,1477790,"Cheddar","Dog","Male",5.7,20161220,"Coonhound, Bluetick","Black /None",NULL
45941,1477791,"Manchego","Dog","Male",6.5,20161220,"Coonhound, Bluetick","Black /None",NULL
45942,1477792,"Mozzarella","Dog","Female",7,20161220,"Coonhound, Bluetick","Black /None",NULL
45943,1477793,"Monterey Jack","Dog","Male",4.8,20161220,"Coonhound, Bluetick","Black /None",NULL
45944,1477794,"Asiago","Dog","Female",6.2,20161220,"Coonhound, Bluetick","Black /None",NULL
45945,1477795,"Feta","Dog","Female",4.38,20161220,"Coonhound, Bluetick","Black /None",NULL
45946,1477796,"Gorgonzola","Dog","Male",8,20161220,"Coonhound, Bluetick","Black /None",NULL
45947,1478068,"Buford T. Justice","Dog","Male",44.6,20121116,"Hound, Basset","Brown /None","Tricolor"
45950,1478376,"Vincent","Dog","Male",15.8,20150717,"Chihuahua, Short Coat","Tan /None",NULL
45952,1478407,"Nikki","Dog","Female",17.2,20090117,"Terrier","Black/None",NULL
45953,1478424,"Swan","Dog","Female",41.2,20151117,"Hound","Black /White","Salt and Pepper"
45954,1478447,"Belton","Dog","Male",64,20151126,"Shepherd, German /Mix","Golden /Tan",NULL
45955,1478457,"Grateful Nate","Dog","Male",42,20160115,"Collie, Border /Mix","Black /White",NULL
45956,1478459,"Versace","Dog","Male",43.6,20151227,"Hound /Mix","White /Brown",NULL
45957,1478470,"Lindberg","Dog","Male",84.7,20090101,"Shepherd, Anatolian /Mix","White /Brown",NULL
45958,1478478,"Glam","Dog","Female",27,20160908,"Chow Chow /Mix","Golden /None",NULL
45962,1479031,"Khaleesi","Dog","Female",73,20150118,"Bulldog, American","White /None",NULL
45963,1479120,"Harper","Dog","Female",30,20140718,"Shepherd/Mix","Black/White","Solid"
45964,1479157,"Lillith","Dog","Female",42.1,20140118,"Basenji /Retriever, Labrador","Tan /Beige",NULL
45965,1479162,"Marian","Dog","Female",49,20120112,"Terrier, American Pit Bull /Mix","White /Brown",NULL
45967,1479321,"Bella","Dog","Female",21,20110505,"Maltese","White/None",NULL
45969,1479357,"Susie","Dog","Female",3,20090117,"Chihuahua","Brown /None",NULL
45970,1479362,"Zsa Zsa","Dog","Female",13.3,20040110,"Shih Tzu","White /None",NULL
45971,1479426,"Adelaide","Dog","Female",16.5,20161118,"Pointer /Mix","Brown /White","Brindle"
45975,1479627,"Mamacita","Dog","Female",22,20120623,"Terrier/Mix","Brown/White",NULL
45983,1479929,"Farley","Dog","Male",82,20150917,"Bulldog, American /Mix","Blue /White",NULL
45984,1479947,"Spike","Dog","Male",78,20130811,"Black Mouth Cur/Mix","Tan/Black",NULL
45985,1479979,"Kent","Dog","Male",65,20111023,"Cattle Dog, Australian (Blue Heeler)/Mix","Black/White",NULL
45986,1479985,"Trooper","Dog","Male",39.6,20151213,"Catahoula Leopard Dog","Blue Black /None","Merle"
45987,1479997,"Miami","Dog","Male",51.4,20130109,"Beagle/Mix","Brown/None","Tricolor"
45988,1480003,"Josie","Dog","Female",57.6,20151228,"Shepherd, German","Sable /None",NULL
45989,1480024,"Gable","Dog","Male",57,20141231,"Shepherd /Retriever, Labrador","Tan /White",NULL
45990,1480031,"Bailey","Dog","Female",48.9,20160615,"Shepherd, Australian /Collie, Border","Black /White",NULL
45992,1480080,"Ernest","Dog","Male",18,20121018,"Chihuahua/Mix","Black/Tan",NULL
45996,1480310,"Ida","Dog","Female",11.8,20150118,"Terrier, Cairn /Mix","0 /None",NULL
45997,1480318,"Poppy","Dog","Female",16.8,20161019,"Retriever, Yellow Labrador /Mix","Yellow /None",NULL
45998,1480335,"Shadow","Dog","Female",9.5,20161129,"Retriever, Black Labrador /Mix","Black /None",NULL
45999,1480340,"Java","Dog","Male",13.63,20161129,"Retriever, Black Labrador /Mix","Black /None",NULL
46000,1480431,"Wheatie","Dog","Male",20.25,20161018,"Retriever, Yellow Labrador /Mix","Blond /None",NULL
46003,1481191,"Eloise","Dog","Female",38.6,20111116,"Cattle Dog /Terrier","White /Black",NULL
46019,1482063,"Austen","Dog","Female",20,20140621,"Lhasa Apso /Schnauzer","Grey /None",NULL
46025,1482584,"Sinatra","Dog","Male",55,20090116,"Shepherd, Australian","Chocolate /None",NULL
46072,1482926,"Moxie","Dog","Female",42,20160123,"Shepherd, Australian","White /Black",NULL
46073,1482928,"Gizmo","Dog","Male",6.13,20150123,"Chihuahua","Tan /None",NULL
46074,1482930,"Royal","Dog","Male",89,20120124,"Black Mouth Cur","Tan /None",NULL
46075,1483283,"Mario","Dog","Male",61,20140922,"Cattle Dog, Australian (Blue Heeler) /Mix","Red/Mahogany /White",NULL
46076,1483395,"Louie","Dog","Male",43,20151211,"Retriever, Labrador /Mix","Brown /None",NULL
46077,1483575,"Ritz","Dog","Male",16,20161210,"Shepherd /Mix","Black /None",NULL
46078,1483582,"Saltine","Dog","Male",8.3,20161210,"Shepherd /Mix","Black /None",NULL
46079,1483584,"Triscuit","Dog","Female",6.44,20161210,"Shepherd /Mix","Tan /White",NULL
46080,1483588,"Cheez-It","Dog","Female",0.69,20161210,"Shepherd /Mix","Tan /White",NULL
46081,1483591,"Goldfish","Dog","Female",7,20161210,"Shepherd /Mix","Cream /Black",NULL
46082,1483597,"Club","Dog","Female",7.31,20161210,"Shepherd /Mix","Tan /Black",NULL
46083,1483671,"Chevy","Dog","Male",36.3,20160325,"Retriever, Labrador /Terrier, Pit Bull","Black /None",NULL
46084,1483682,"Ford","Dog","Male",34.6,20160325,"Retriever, Labrador /Terrier, Pit Bull","Black /White",NULL
46085,1483689,"Lexus","Dog","Female",31.3,20160325,"Retriever, Labrador /Terrier, Pit Bull","Black /White",NULL
46086,1483693,"Porsche","Dog","Female",28.1,20160325,"Retriever, Labrador /Terrier, Pit Bull","Black /White",NULL
46087,1484020,"Aphrodite","Dog","Female",15.06,20161116,"Retriever, Black Labrador /Mix","Black /None",NULL
46088,1484251,"Baguette","Dog","Male",30,20160509,"Cattle Dog","Red/Mahogany /White",NULL
46089,1484253,"Ciabatta","Dog","Female",27.4,20160509,"Cattle Dog","Red/Mahogany /White",NULL
46090,1484257,"Focaccia","Dog","Female",27.3,20160509,"Cattle Dog","Red/Mahogany /White",NULL
46093,1484288,"Munch","Dog","Male",71,20160824,"Shepherd, Australian/Retriever, Labrador","Chocolate/None",NULL
46094,1484493,"Elijah","Dog","Male",15.7,20120124,"Bichon Frise","White /None",NULL
46095,1484497,"Mishko","Dog","Male",20.2,20120124,"Bichon Frise","White /None",NULL
46097,1484590,"Guinness","Dog","Male",13.3,20150124,"Terrier, Yorkshire, Yorkie","Silver /Tan",NULL
46098,1485160,"Danali","Dog","Female",38,20160920,"Boxer /Mix","Brown /Black",NULL
46099,1485216,"Frank","Dog","Male",60.4,20131127,"Shepherd, German/Mix","Sable/None",NULL
46100,1485290,"Duke","Dog","Male",55,20131223,"Catahoula Leopard Dog /Mix","White /Brown",NULL
46101,1485439,"Lego","Dog","Male",16.2,20150125,"Terrier /Mix","White /Black",NULL
46102,1485445,"Joy","Dog","Female",12.19,20150125,"Terrier /Mix","White /None",NULL
46104,1485786,"Halyard","Dog","Male",15.8,20161112,"Cattle Dog, Australian (Blue Heeler) /Mix","Red/Mahogany /None",NULL
46105,1485789,"Sierra","Dog","Female",13.3,20161112,"Cattle Dog, Australian (Blue Heeler) /Mix","Black /White",NULL
46106,1485792,"Trix","Dog","Female",21,20161112,"Cattle Dog, Australian (Blue Heeler) /Mix","Red/Mahogany /None",NULL
46107,1485794,"Pebbles","Dog","Male",19.2,20161112,"Cattle Dog, Australian (Blue Heeler) /Mix","Black /White",NULL
46108,1485801,"Cheerios","Dog","Male",17.5,20161112,"Cattle Dog, Australian (Blue Heeler) /Mix","Black /White",NULL
46109,1485847,"Sally","Dog","Female",4.69,20160125,"Terrier /Mix","Tan /None",NULL
46119,1485934,"Taylor","Dog","Female",13.4,20161126,"Boxer /Mix","Tan /White",NULL
46120,1486025,"Macho","Dog","Male",7.5,20150126,"Chihuahua /Mix","Tan /None",NULL
46121,1486075,"Meeko","Dog","Male",22,20160114,"Chihuahua, Short Coat /Mix","Silver /Tan",NULL
46122,1486082,"Flit","Dog","Male",22,20160114,"Chihuahua, Short Coat /Mix","Tan /Black",NULL
46123,1486328,"Bruno","Dog","Male",11.19,20161111,"Terrier /Mix","Blond /None",NULL
46124,1486357,"Rey","Dog","Female",4.88,20161026,"Chihuahua /Mix","Black /None",NULL
46125,1486372,"Leia","Dog","Female",5.3,20161026,"Chihuahua /Mix","Black /None",NULL
46126,1486373,"Padme","Dog","Female",4.8,20161118,"Chihuahua /Mix","Black /None",NULL
46141,1486769,"Clark","Dog","Male",66,20140119,"Pyrenees, Great","White /Tan",NULL
46142,1486782,"Lilo","Dog","Female",31,20160121,"Beagle/Mix","Brown/Black",NULL
46143,1486796,"Audrina","Dog","Female",48,20110122,"Shepherd, German","Sable /None",NULL
46147,1486831,"Flower","Dog","Female",8.31,20150120,"Chihuahua, Short Coat /Mix","Tan /None",NULL
46158,1487184,"Madrid","Dog","Female",4.75,20160527,"Chihuahua /Mix","Black /Brown",NULL
46160,1487664,"Kali","Dog","Male",24.7,20161216,"Dachshund, Standard Smooth Haired","White /Black","Merle"
46161,1487668,"Lakshmi","Dog","Female",5.69,20161216,"Dachshund, Standard Smooth Haired","Grey /None","Merle"
46162,1487672,"Sita","Dog","Female",5.44,20161216,"Dachshund, Standard Smooth Haired","Tan /White",NULL
46163,1487676,"Rama","Dog","Male",4.8,20161216,"Dachshund, Miniature Smooth Haired","Blond /White","Merle"
46164,1487679,"Saraswati","Dog","Female",6.4,20161216,"Dachshund, Standard Smooth Haired","Red/Mahogany /Black",NULL
46165,1487684,"Vishnu","Dog","Female",5.1,20161216,"Dachshund, Miniature Smooth Haired","Blond /None","Merle"
46166,1487824,"Trooper","Dog","Male",40,20140125,"Terrier, Pit Bull/Mix","Blue/None",NULL
46167,1488022,"Creamsicle","Dog","Male",5,20161028,"Terrier, Yorkshire, Yorkie /Poodle","Cream /None",NULL
46169,1488090,"Marjorie","Dog","Female",73,20161210,"Catahoula Leopard Dog/American Blue Heeler","Red/Mahogany/None",NULL
46170,1488093,"Holzman","Dog","Male",15,20161210,"Catahoula Leopard Dog /American Blue Heeler","Black /None",NULL
46171,1488094,"Ref","Dog","Male",20,20161210,"Catahoula Leopard Dog /American Blue Heeler","Black /White","Bicolor"
46172,1488095,"Kest","Dog","Male",16,20161210,"Catahoula Leopard Dog /American Blue Heeler","Tan /White","Bicolor"
46173,1488142,"Mason","Dog","Male",50.7,20021217,"Retriever, Black Labrador /Mix","Black /None",NULL
46176,1488313,"Dozer","Dog","Male",97,20080808,"Pinscher, Doberman /Mix","Black /Brown",NULL
46177,1488955,"Flik","Dog","Male",6,20170105,"Poodle, Toy","Apricot /None",NULL
46178,1488971,"Celia","Dog","Female",3.88,20161029,"Chihuahua","Tan /None",NULL
46179,1489339,"Jazzy","Dog","Female",43.5,20091228,"Mixed Breed (Medium)","Black/None",NULL
46180,1489344,"Lemon Meringue","Dog","Female",6.8,20161130,"Terrier, American Pit Bull /Mix","Black /Brindle",NULL
46181,1489346,"Key Lime","Dog","Male",7.9,20161130,"Terrier, American Pit Bull /Mix","Black /White",NULL
46182,1489348,"Chocolate Cream","Dog","Male",11.1,20161130,"Terrier, American Pit Bull /Mix","Brindle /None",NULL
46183,1489350,"Pecan","Dog","Female",40,20161130,"Terrier, American Pit Bull/Mix","Brindle/None",NULL
46184,1489355,"Banana Cream","Dog","Male",45,20161130,"Terrier, American Pit Bull/Mix","Brindle/None",NULL
46186,1489474,"Foxtrot","Dog","Male",25,20161125,"Shepherd, German/Retriever","Tan/None",NULL
46187,1489480,"Samba","Dog","Male",13.8,20161125,"Shepherd, German /Retriever","Brown /Black",NULL
46188,1489484,"Waltz","Dog","Female",10.7,20161125,"Shepherd, German /Retriever","Brown /None",NULL
46189,1489490,"Ballet","Dog","Female",13.6,20161125,"Shepherd, German /Retriever","Black /White",NULL
46193,1489857,"Mary","Dog","Female",40.9,20120126,"Retriever, Black Labrador","Black /None",NULL
46195,1489865,"Hagrid","Dog","Male",80.5,20100130,"Akita","Sable /White",NULL
46196,1489926,"Maurice","Dog","Male",20.9,20120827,"Spaniel, Cocker","Black /Tan",NULL
46205,1489995,"Reeses","Dog","Male",8.63,20170130,"Retriever, Labrador /Chow Chow","Black /Brown",NULL
